method,year,house_size,ave_constituency
Hamilton,1900,435,171461.34579717205
Lowndes,1910,435,171266.79465830847
Jefferson,1920,435,177730.23791488245
Adams,1930,435,161534.4556680634
Webster,1940,435,171461.34579717205
Dean,1950,435,167499.6280518286
Huntington-Hill,1960,435,171461.34579717205
Hamilton,1970,435,207038.90285103107
Lowndes,1980,435,221675.5572292543
Jefferson,1990,435,225314.52225272555
Adams,2000,435,197560.52982178662
Webster,2010,435,200972.8211893051
Dean,1900,435,199896.17980753872
Huntington-Hill,1900,435,199896.17980753872
Hamilton,1900,435,241528.39096789074
Lowndes,1900,435,243326.12973594517
Jefferson,1900,435,259133.6770224385
Adams,1900,435,226279.8712687014
Webster,1900,435,241528.39096789074
Dean,1910,435,229691.19482803735
Huntington-Hill,1910,435,232894.4018597834
Hamilton,1910,435,277868.9940796861
Lowndes,1910,435,297758.800386097
Jefferson,1910,435,300651.9686532415
Adams,1910,435,258751.55808224657
Webster,1910,435,277868.9940796861
Dean,1920,435,269680.0126641958
Huntington-Hill,1920,435,273762.9762615043
Hamilton,1920,435,293981.08409297606
Lowndes,1920,435,314841.6671414882
Jefferson,1920,435,330530.8869274366
Adams,1920,435,278710.93573120545
Webster,1920,435,293981.08409297606
Dean,1930,435,289889.537042471
Huntington-Hill,1930,435,293632.0237091377
Hamilton,1930,435,342752.28274964285
Lowndes,1930,435,364171.62807676883
Jefferson,1930,435,369638.736133379
Adams,1930,435,320880.720802837
Webster,1930,435,337647.5234593203
Dean,1940,435,332056.24969443405
Huntington-Hill,1940,435,333165.02455822134
Hamilton,1940,435,412998.2729870068
Lowndes,1940,435,419180.289908478
Jefferson,1940,435,440057.5068501055
Adams,1940,435,381277.48174236924
Webster,1940,435,405448.8847139909
Dean,1950,435,400039.7488165551
Huntington-Hill,1950,435,400039.7488165551
Hamilton,1950,435,468517.6852536904
Lowndes,1950,435,474140.49297161296
Jefferson,1950,435,501599.2373004071
Adams,1950,435,433511.99597179616
Webster,1950,435,469627.4802536904
Dean,1960,435,457264.1356346427
Huntington-Hill,1960,435,458708.86692035705
Hamilton,1960,435,525407.6642583612
Lowndes,1960,435,543311.7267567306
Jefferson,1960,435,580293.3387418694
Adams,1960,435,489826.0555111902
Webster,1960,435,517769.4396400037
Dean,1970,435,514423.3221854583
Huntington-Hill,1970,435,514423.3221854583
Hamilton,1970,435,578031.6990385669
Lowndes,1970,435,589565.6720170501
Jefferson,1970,435,608801.1870758996
Adams,1970,435,539289.9141058848
Webster,1970,435,577042.5509359684
Dean,1980,435,567676.8538215272
Huntington-Hill,1980,435,574573.6083669817
Hamilton,1980,435,649658.7363957916
Lowndes,1980,435,678305.7555981469
Jefferson,1980,435,691757.7814987
Adams,1980,435,615795.4444149333
Webster,1980,435,649658.7363957916
Dean,1990,435,638192.6042283992
Huntington-Hill,1990,435,646968.7512675864
Hamilton,1990,435,710149.4864537753
Lowndes,1990,435,742490.0904472923
Jefferson,1990,435,759804.0363185572
Adams,1990,435,671303.8335486325
Webster,1990,435,719627.30117905
Dean,2000,435,700654.4723426643
Huntington-Hill,2000,435,710149.4864537753
